Inc,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
0,1,1,1,1,1,1,1,1,1,1,1,1
5,1.07,1.05,1.04,1.02,1.01,1.01,1.01,1.03,1.05,1.07,1.08,1.08
10,1.13,1.1,1.07,1.04,1.02,1.01,1.02,1.05,1.08,1.13,1.15,1.15
15,1.18,1.14,1.1,1.05,1.02,1.01,1.02,1.06,1.12,1.18,1.22,1.21
20,1.22,1.18,1.12,1.06,1.01,.99,1.01,1.06,1.14,1.22,1.28,1.27
25,1.26,1.2,1.13,1.05,1,.98,1,1.06,1.16,1.26,1.33,1.32
30,1.29,1.22,1.13,1.04,.98,.95,.98,1.05,1.16,1.29,1.37,1.36
35,1.32,1.23,1.13,1.02,.95,.92,.95,1.03,1.16,1.31,1.4,1.39
40,1.33,1.24,1.12,1,.91,.88,.91,1.01,1.16,1.32,1.43,1.41
45,1.34,1.23,1.1,.97,.87,.84,.87,.98,1.14,1.32,1.44,1.43
50,1.34,1.22,1.08,.93,.82,.78,.82,.94,1.12,1.31,1.45,1.44
55,1.33,1.2,1.05,.89,.77,.73,.77,.9,1.08,1.3,1.44,1.43
60,1.31,1.17,1.01,.84,.71,.67,.71,.84,1.50,1.27,1.43,1.42
65,1.29,1.14,.96,.78,.65,.6,.65,.79,1,1.24,1.41,1.4
70,1.25,1.1,.91,.72,.59,.53,.58,.73,.95,1.2,1.37,1.37
75,1.21,1.05,.85,.66,.52,.46,.51,.66,.89,1.15,1.33,1.33
80,1.16,1,.79,.59,.44,.39,.44,.59,.82,1.09,1.28,1.29
85,1.11,.94,.73,.52,.37,.31,.36,.51,.75,1.03,1.23,1.23
90,1.05,.87,.65,.44,.29,.23,.28,.44,.68,.96,1.16,1.17
