Inc,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
0,1,1,1,1,1,1,1,1,1,1,1,1
5,1.08,1.06,1.05,1.03,1.02,1.02,1.02,1.04,1.06,1.08,1.09,1.09
10,1.15,1.12,1.09,1.06,1.04,1.03,1.04,1.06,1.11,1.15,1.18,1.17
15,1.21,1.17,1.13,1.08,1.04,1.03,1.04,1.09,1.15,1.22,1.26,1.25
20,1.27,1.21,1.15,1.09,1.04,1.03,1.05,1.1,1.18,1.28,1.34,1.32
25,1.32,1.25,1.17,1.09,1.04,1.01,1.04,1.1,1.21,1.33,1.4,1.38
30,1.36,1.28,1.19,1.09,1.02,1,1.02,1.1,1.23,1.37,1.46,1.44
35,1.39,1.3,1.19,1.08,1,.97,1,1.09,1.23,1.4,1.51,1.48
40,1.42,1.31,1.19,1.06,.97,.94,.97,1.08,1.24,1.42,1.54,1.52
45,1.43,1.32,1.18,1.04,.94,.9,.94,1.05,1.23,1.43,1.57,1.54
50,1.44,1.31,1.16,1,.89,.86,.9,1.02,1.21,1.44,1.59,1.56
55,1.44,1.3,1.13,.97,.85,.8,.85,.98,1.19,1.43,1.59,1.57
60,1.43,1.28,1.1,.92,.79,.75,.8,.93,1.15,1.41,1.59,1.57
65,1.41,1.25,1.06,.87,.74,.69,.74,.88,1.11,1.39,1.57,1.55
70,1.38,1.21,1.01,.81,.67,.62,.67,.82,1.07,1.35,1.55,1.53
75,1.35,1.17,.96,.75,.6,.55,.6,.76,1.01,1.31,1.52,1.5
80,1.3,1.12,.9,.68,.53,.48,.53,.69,.95,1.25,1.47,1.46
85,1.25,1.06,.83,.61,.46,.4,.46,.62,.88,1.19,1.42,1.41
90,1.19,1,.76,.54,.38,.32,.38,.54,.81,1.12,1.36,1.35
