Inc,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
0,1,1,1,1,1,1,1,1,1,1,1,1
5,1.07,1.06,1.04,1.03,1.02,1.01,1.02,1.03,1.05,1.07,1.08,1.08
10,1.13,1.11,1.08,1.05,1.02,1.02,1.03,1.05,1.09,1.14,1.16,1.16
15,1.19,1.15,1.11,1.06,1.03,1.01,1.03,1.07,1.13,1.19,1.23,1.22
20,1.24,1.19,1.13,1.07,1.02,1.01,1.02,1.07,1.15,1.24,1.3,1.29
25,1.28,1.22,1.14,1.07,1.01,.99,1.01,1.08,1.17,1.28,1.35,1.34
30,1.31,1.24,1.15,1.06,.99,.97,.99,1.07,1.18,1.31,1.4,1.38
35,1.34,1.25,1.15,1.04,.96,.94,.97,1.05,1.19,1.34,1.43,1.42
40,1.36,1.26,1.14,1.02,.93,.9,.93,1.03,1.18,1.35,1.46,1.45
45,1.37,1.26,1.13,.99,.89,.86,.89,1,1.17,1.36,1.48,1.47
50,1.37,1.25,1.1,.96,.85,.81,.85,.97,1.15,1.35,1.49,1.48
55,1.36,1.23,1.07,.91,.8,.75,.8,.92,1.12,1.34,1.49,1.48
60,1.35,1.21,1.04,.86,.74,.69,.74,.87,1.08,1.32,1.48,1.47
65,1.33,1.18,.99,.81,.68,.63,.68,.82,1.04,1.29,1.46,1.45
70,1.29,1.14,.94,.75,.61,.56,.61,.76,.98,1.25,1.43,1.42
75,1.25,1.09,.89,.69,.54,.49,.54,.69,.93,1.2,1.39,1.39
80,1.21,1.04,.83,.62,.47,.42,.47,.62,.86,1.14,1.34,1.34
85,1.15,.98,.76,.55,.4,.34,.39,.55,.79,1.08,1.29,1.29
90,1.09,.91,.69,.47,.32,.26,.31,.47,.72,1.01,1.22,1.23
