Inc,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
0,1,1,1,1,1,1,1,1,1,1,1,1
5,1.08,1.07,1.05,1.04,1.03,1.02,1.03,1.04,1.06,1.09,1.1,1.1
10,1.16,1.13,1.1,1.07,1.04,1.04,1.05,1.07,1.12,1.17,1.2,1.19
15,1.23,1.19,1.14,1.09,1.05,1.04,1.06,1.1,1.17,1.24,1.29,1.27
20,1.29,1.24,1.17,1.11,1.06,1.04,1.06,1.12,1.21,1.31,1.37,1.35
25,1.35,1.28,1.2,1.11,1.06,1.03,1.06,1.13,1.24,1.36,1.45,1.42
30,1.4,1.31,1.21,1.12,1.04,1.02,1.05,1.13,1.26,1.41,1.51,1.48
35,1.43,1.34,1.22,1.11,1.03,1.,1.03,1.12,1.27,1.45,1.56,1.53
40,1.46,1.35,1.22,1.09,1,.97,1.01,1.11,1.28,1.48,1.61,1.58
45,1.49,1.36,1.22,1.07,.97,.93,.97,1.09,1.28,1.5,1.64,1.61
50,1.5,1.36,1.2,1.04,.93,.89,.94,1.6,1.26,1.51,1.67,1.63
55,1.5,1.35,1.18,1.01,.89,.84,.89,1.03,1.24,1.5,1.68,1.65
60,1.5,1.34,1.15,.97,.84,.79,.84,.98,1.21,149,1.68,1.65
65,1.48,1.31,1.11,.92,.78,.73,.78,.93,1.18,1.47,1.67,1.64
70,1.46,1.28,1.07,.86,.72,.67,.72,.88,1.13,144,1.65,1.62
75,1.43,1.24,1.02,.8,.65,.6,.65,.82,1.08,1.4,1.62,1.6
80,1.38,1.19,.96,.74,.58,.53,.58,.75,1.02,1.35,1.58,1.56
85,1.33,1.13,.89,.66,.51,.45,.51,.67,.95,1.29,1.53,1.51
90,1.28,1.07,.82,.59,.43,.37,.43,.6,.88,1.22,1.47,1.45
