Inc,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
0,1,1,1,1,1,1,1,1,1,1,1,1
5,1.08,1.07,1.05,1.04,1.02,1.02,1.02,1.04,1.06,1.09,1.1,1.1
10,1.16,1.13,1.1,1.06,1.04,1.03,1.04,1.07,1.11,1.16,1.19,1.18
15,1.22,1.18,1.13,1.09,1.05,1.04,1.05,1.09,1.16,1.23,1.28,1.27
20,1.28,1.23,1.17,1.1,1.05,1.04,1.06,1.11,1.2,1.3,1.36,1.34
25,1.34,1.27,1.19,1.11,1.05,1.03,1.05,1.12,1.23,1.35,1.43,1.41
30,1.38,1.3,1.2,1.11,1.04,1.01,1.05,1.12,1.25,1.4,1.49,1.47
35,1.42,1.32,1.21,1.1,1.02,.99,1.02,1.11,1.26,1.43,1.54,1.52
40,1.45,1.34,1.21,1.08,.99,.96,1,1.1,1.26,1.46,1.59,1.56
45,1.47,1.35,1.2,1.06,.96,.92,.96,1.08,1.26,1.48,1.62,1.59
50,1.48,1.34,1.19,1.03,.92,.88,.92,1.05,1.25,1.48,1.64,1.61
55,1.48,1.33,1.16,.99,.87,.83,.88,1.01,1.22,1.48,1.65,1.62
60,1.47,1.32,1.13,.95,.82,.78,.82,.97,1.19,1.47,1.65,1.62
65,1.46,1.29,1.09,.9,.76,.72,.77,.92,1.16,1.44,1.64,1.61
70,1.43,1.26,1.05,.85,.7,.65,.7,.86,1.11,1.41,1.62,1.59
75,1.4,1.21,1,.78,64,.58,.64,.8,1.06,1.37,1.59,1.56
80,1.36,1.16,.94,.72,.56,.51,.56,.73,.99,1.32,1.54,1.52
85,1.31,1.11,.87,.65,.49,.43,.49,.66,.93,1.26,1.49,1.48
90,1.25,1.04,.8,.57,.41,.35,.41,.58,.85,1.19,1.43,1.42
