Inc,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
0,1,1,1,1,1,1,1,1,1,1,1,1
5,1.07,1.06,1.05,1.03,1.02,1.01,1.02,1.03,1.05,1.08,1.09,1.09
10,1.14,1.11,1.08,1.05,1.03,1.02,1.03,1.06,1.1,1.14,1.17,1.16
15,1.2,1.16,1.12,1.07,1.03,1.02,1.04,1.08,1.14,1.21,1.25,1.24
20,1.25,1.2,1.14,1.08,1.03,1.02,1.03,1.09,1.17,1.26,1.32,1.3
25,1.3,1.23,1.16,1.08,1.02,1,1.02,1.09,1.19,1.3,1.38,1.36
30,1.34,1.26,1.17,1.07,1.01,.98,1.01,1.09,1.2,1.34,1.43,1.41
35,1.37,1.28,1.17,1.06,.98,.95,.98,1.07,1.21,1.37,1.47,1.45
40,1.39,1.29,1.16,1.04,.95,.92,.95,1.05,1.21,1.39,1.5,1.48
45,1.4,1.29,1.15,1.01,.91,.88,.92,1.03,1.2,1.39,1.52,1.5
50,1.41,1.28,1.13,.98,.87,.83,.87,.99,1.18,1.39,1.54,1.52
55,1.4,1.27,1.1,.94,.82,.78,.82,.95,1.15,1.38,1.54,1.52
60,1.39,1.24,1.07,.89,.77,.72,.77,.9,1.12,1.36,1.53,1.51
65,1.37,1.21,1.03,.84,.71,.66,.71,.85,1.07,1.34,1.51,1.5
70,1.34,1.17,.98,.78,.64,.59,.64,.79,1.02,1.3,1.49,1.47
75,1.3,1.13,.92,.72,.57,.52,.57,.73,.97,1.25,1.45,1.44
80,1.25,1.08,.86,.65,.5,.45,.5,.66,.9,1.2,1.41,1.4
85,1.2,1.02,.8,.58,.43,.37,.42,.58,.84,1.14,1.35,1.35
90,1.14,.95,.73,.5,.35,.29,.34,.5,.76,1.07,1.29,1.29
