Inc,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
0,1,1,1,1,1,1,1,1,1,1,1,1
5,1.07,1.06,1.04,1.03,1.02,1.01,1.02,1.03,1.05,1.07,1.09,1.08
10,1.14,1.11,1.08,1.05,1.03,1.02,1.03,1.06,1.1,1.14,1.17,1.16
15,1.19,1.16,1.11,1.07,1.03,1.02,1.03,1.07,1.13,1.2,1.24,1.23
20,1.25,1.2,1.14,1.07,1.03,1.01,1.03,1.08,1.16,1.25,1.31,1.29
25,1.29,1.23,1.15,1.07,1.02,1,1.02,1.08,1.18,1.29,1.36,1.35
30,1.33,1.25,1.16,1.07,1,.97,1,1.08,1.19,1.33,1.41,1.4
35,1.35,1.27,1.16,1.05,.97,.94,.98,1.06,1.2,1.35,1.45,1.43
40,1.37,1.27,1.15,1.03,.94,.91,.94,1.04,1.19,1.37,1.48,1.46
45,1.38,1.27,1.14,1,.9,.87,.9,1.01,1.18,1.37,1.5,1.48
50,1.39,1.26,1.12,.97,.86,.82,.86,.98,1.16,1.37,1.51,1.5
55,1.38,1.25,1.09,.93,.81,.77,.81,.94,1.13,1.36,1.51,1.5
60,1.37,1.22,1.05,.88,.75,.71,.75,.89,1.1,1.34,1.51,1.49
65,1.35,1.19,1.01,.83,.69,.65,.69,.83,1.05,1.31,1.49,1.47
70,1.32,1.15,.96,.77,.63,.58,.63,.77,1,1.27,1.46,1.45
75,1.28,1.11,.91,.7,.56,.51,.56,.71,.95,1.23,1.42,1.41
80,1.23,1.06,.84,.64,.49,.43,.48,.64,.88,1.17,1.37,1.37
85,1.18,1,.78,.56,.41,.35,.41,.56,.81,1.11,1.32,1.32
90,1.12,.93,.71,.49,.33,.28,.33,.49,.74,1.04,1.25,1.26
