Inc,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
0,1,1,1,1,1,1,1,1,1,1,1,1
5,1.08,1.07,1.05,1.03,1.02,1.02,1.02,1.04,1.06,1.08,1.1,1.09
10,1.15,1.12,1.09,1.06,1.04,1.03,1.04,1.07,1.11,1.16,1.19,1.18
15,1.22,1.18,1.13,1.08,1.05,1.03,1.05,1.09,1.15,1.23,1.27,1.26
20,1.28,1.22,1.16,1.09,1.05,1.03,1.05,1.1,1.19,1.29,1.35,1.33
25,1.33,1.26,1.18,1.1,1.04,1.02,1.04,1.11,1.22,1.34,1.42,1.4
30,1.37,1.29,1.2,1.1,1.03,1,1.03,1.11,1.24,1.38,1.48,1.45
35,1.41,1.31,1.2,1.09,1.01,.98,1.01,1.1,1.25,1.42,1.52,1.5
40,1.43,1.33,1.2,1.07,.98,.95,.98,1.09,1.25,1.44,1.56,1.54
45,1.45,1.33,1.19,1.05,.95,.91,.95,1.06,1.24,1.45,1.59,1.57
50,1.46,1.33,1.17,1.02,.91,.87,.91,1.03,1.23,1.46,1.61,1.58
55,1.46,1.32,1.15,.98,.86,.82,.86,1,1.21,1.45,1.62,1.59
60,1.45,1.3,1.12,.94,.81,.76,.81,.95,1.17,1.44,1.62,1.59
65,1.43,1.27,1.08,.89,.75,.7,.75,.9,1.13,1.41,1.61,1.58
70,1.41,1.23,1.03,.83,.69,.64,.69,.84,1.09,1.38,1.58,1.56
75,1.37,1.19,.98,.77,.62,.57,.62,.78,1.03,1.34,1.55,1.53
80,1.33,1.14,.92,.7,.55,.49,.55,.71,.97,1.28,1.51,1.49
85,1.28,1.08,.85,.63,.47,.42,.47,.64,.9,1.22,1.45,1.44
90,1.22,1.02,.78,.56,.4,.34,.39,.56,.83,1.16,1.39,1.38
